Filename,Z3,Eldarica,CVC4Ind,CVC4Finite,VeriMAP-iddt
sizerightdrop.0.smt2,300000,300000,300000,24001,67773
sizeleftdrop.0.smt2,600000,600000,300000,10745,85658
heightleftdrop.0.smt2,600000,300000,300000,21712,300000
heightrightdrop.0.smt2,600000,300000,300000,5309,300000
sizerightdrop.0.smt2,600000,300000,300000,6974,300000
goal87.0.smt2,300000,300000,300000,1066,300000
list_rev_append.0.smt2,300000,300000,300000,37,300000
sumlistappend2.0.smt2,300000,300000,300000,53,300000
list_append_nil.0.smt2,600000,3545,300000,43,300000
sumlistappend1.0.smt2,300000,300000,300000,50,300000
list_rev2_len.0.smt2,600000,12965,300000,44,300000
lenmergeoddeven.0.smt2,600000,300000,300000,58,300000
goal20.0.smt2,300000,300000,300000,51,300000
list_rev2_append.0.smt2,300000,3330,300000,43,300000
tree_insert_size.0.smt2,300000,300000,300000,57,300000
queue_popback.0.smt2,300000,300000,300000,86,300000
queue_len.0.smt2,300000,300000,300000,108,300000
list_append_len.0.smt2,300000,300000,300000,45,300000
queue_push_to_list.0.smt2,300000,300000,300000,103,300000
list_append_ass.0.smt2,300000,300000,300000,41,300000
list_rev.0.smt2,300000,300000,300000,41,300000
sizeleftdrop.0.smt2,600000,300000,300000,18048,300000
sumlistappend0.0.smt2,300000,300000,300000,52,300000
queue_push.0.smt2,300000,300000,300000,121,300000
filtergtzapp.0.smt2,300000,300000,300000,151,300000
goal75-gt0.0.smt2,300000,300000,300000,137,300000
heightleftdrop.0.smt2,600000,300000,300000,1308,300000
heightrightdrop.0.smt2,600000,166371,300000,300000,300000
heap_insert_multi.0.smt2,300000,300000,300000,684,300000
list_rev2.0.smt2,300000,300000,300000,46,300000
list_len_butlast.0.smt2,300000,3100,300000,42,300000
tip2015/nat_max_idem.0.smt2,19,1839,300000,300000,300000
tip2015/list_PairUnpair.0.smt2,66,10013,300000,63,164
tip2015/nat_boring_ge_trans.0.smt2,300000,5030,300000,300000,300000
tip2015/nicomachus_theorem.0.smt2,44,19500,300000,31,135
tip2015/sort_MSortTDSorts.0.smt2,303,300000,300000,180,300000
tip2015/nat_le_reflexive.0.smt2,14,1591,300000,300000,87
tip2015/sort_MSortTDIsSort.0.smt2,300000,140467,300000,300000,300000
tip2015/sort_NMSortTDSorts.0.smt2,1980,300000,300000,182,300000
tip2015/nat_min_max_abs.0.smt2,300000,5027,300000,300000,300000
tip2015/nat_lt_asymmetric.0.smt2,300000,4168,300000,300000,300000
tip2015/nat_max_comm.0.smt2,300000,7185,300000,300000,300000
tip2015/nat_boring_gt_asymmetric.0.smt2,300000,4288,300000,300000,300000
tip2015/nat_le_ne_lt.0.smt2,300000,3593,300000,300000,300000
tip2015/nat_le_trans.0.smt2,300000,5926,300000,300000,300000
tip2015/sort_nat_BSortSorts.0.smt2,16310,300000,300000,98,300000
tip2015/escape_NoSpecial.0.smt2,300000,600000,300000,84,300000
tip2015/sort_BSortSorts.0.smt2,687,300000,300000,90,300000
tip2015/regexp_RecNil.0.smt2,300000,11184,300000,2568,300000
tip2015/nat_boring_gt_irreflexive.0.smt2,11,1588,300000,300000,87
tip2015/nat_boring_min_idem.0.smt2,16,1777,300000,300000,300000
tip2015/nat_lt_ne.0.smt2,13,1618,300000,300000,86
tip2015/regexp_RecEps.0.smt2,300000,21484,300000,7447,300000
tip2015/nat_boring_max_min_abs.0.smt2,300000,5020,300000,300000,300000
tip2015/sort_MSortTDCount.0.smt2,877,300000,300000,300000,300000
tip2015/sort_BSortCount.0.smt2,2058,300000,300000,300000,300000
tip2015/sort_NMSortTDCount.0.smt2,2719,300000,300000,300000,300000
tip2015/nat_lt_irreflexive.0.smt2,12,1613,300000,300000,94
tip2015/nat_boring_min_comm.0.smt2,300000,7205,300000,300000,300000
tip2015/regexp_PlusIdempotent.0.smt2,85,300000,300000,300000,300000
tip2015/sort_NMSortTDIsSort.0.smt2,300000,55659,300000,300000,300000
tip2015/nat_boring_gt_trans.0.smt2,300000,5011,300000,300000,300000
tip2015/nat_boring_ge_reflexive.0.smt2,15,1649,300000,300000,81
tip2015/regexp_RecAtom.0.smt2,300000,48716,300000,147358,300000
false/regexp_deluxe_FromToConj.0.smt2,217,39291,300000,3270,550
false/regexp_deluxe_iter'.0.smt2,300000,300000,300000,4954,600000
false/graph_p31.0.smt2,300000,300000,300000,171865,300000
false/graph_bt5.0.smt2,6390,300000,300000,300000,300000
false/regexp_deluxe_FromToConj_difficult.0.smt2,300000,300000,300000,39853,300000
false/graph_p21.0.smt2,300000,300000,300000,139250,300000
false/show_bin_lists_assoc.0.smt2,1161,300000,300000,2757,16987
false/graph_p7.0.smt2,300000,600000,300000,134999,300000
false/graph_bt4.0.smt2,3656,300000,300000,300000,300000
false/graph_bt3.0.smt2,2858,300000,300000,300000,300000
false/hotel_key_safe1.0.smt2,300000,600000,300000,1107,300000
false/regexp_deluxe_iter.0.smt2,300000,300000,300000,2806,538
false/graph_p9.0.smt2,300000,300000,300000,163780,300000
false/graph_p11.0.smt2,300000,300000,300000,145168,300000
false/hotel_key_safe3.0.smt2,300000,600000,300000,1113,300000
isaplanner/prop_16.0.smt2,300000,2407,300000,300000,123
isaplanner/prop_70.0.smt2,300000,4892,300000,300000,300000
isaplanner/prop_25.0.smt2,300000,6635,300000,300000,300000
isaplanner/prop_06.0.smt2,300000,2954,300000,300000,300000
isaplanner/prop_11.0.smt2,300000,2564,300000,300000,112
isaplanner/prop_69.0.smt2,300000,1867,300000,300000,300000
isaplanner/prop_21.0.smt2,300000,2723,300000,300000,300000
isaplanner/prop_65.0.smt2,300000,2346,300000,300000,300000
isaplanner/prop_10.0.smt2,24,2220,300000,300000,88
isaplanner/prop_23.0.smt2,300000,2101,300000,300000,300000
isaplanner/prop_17.0.smt2,33,2025,300000,28,126
isaplanner/prop_07.0.smt2,600000,5568,300000,300000,300000
isaplanner/prop_18.0.smt2,300000,4235,300000,300000,300000
isaplanner/prop_46.0.smt2,73,2520,300000,39,122
isaplanner/prop_22.0.smt2,300000,11857,300000,300000,300000
isaplanner/prop_40.0.smt2,36,2262,300000,32,115
isaplanner/prop_54.0.smt2,300000,5840,300000,300000,300000
isaplanner/prop_24.0.smt2,600000,8397,300000,300000,300000
prod/prop_16.0.smt2,300000,2840,300000,23,300000
prod/prop_20.0.smt2,300000,3266,300000,37,300000
prod/prop_25.0.smt2,300000,300000,300000,30,300000
prod/prop_13.0.smt2,300000,19002,300000,300000,300000
prod/prop_22.0.smt2,300000,300000,300000,24,300000
prod/prop_24.0.smt2,300000,300000,300000,26,300000